Generating SQLite file ./profiling/trt_fp32_profile_16032026_v1.sqlite from ./profiling/trt_fp32_profile_16032026_v1.nsys-rep
Processing [./profiling/trt_fp32_profile_16032026_v1.sqlite] with [/opt/nvidia/nsight-systems/2024.5.4/host-linux-armv8/reports/nvtx_sum.py]... 

 ** NVTX Range Summary (nvtx_sum):

 Time (%)  Total Time (ns)  Instances    Avg (ns)      Med (ns)     Min (ns)    Max (ns)    StdDev (ns)    Style                                                   Range                                                
      0,0          205 792          3      68 597,0      71 680,0      54 240       79 872      13 091,0  PushPop   TensorRT:PWN(PWN(/model.22/Add_2), PWN(/model.22/Constant_14_output_0 + ONNXTRT_Broadcast, PWN(/mod…
      0,0          204 640          3      68 213,0      71 040,0      48 288       85 312      18 673,0  PushPop   TensorRT:/model.22/cv3.0/cv3.0.2/Conv                                                               
      0,0          202 528          3      67 509,0      66 848,0      54 784       80 896      13 068,0  PushPop   TensorRT:/model.9/m/MaxPool_output_0 copy                                                           
      0,0          201 440          3      67 146,0      72 512,0      51 488       77 440      13 782,0  PushPop   TensorRT:/model.4/m.1/cv2/conv/Conv                                                                 
      0,0          199 424          3      66 474,0      65 056,0      56 576       77 792      10 678,0  PushPop   TensorRT:/model.4/cv1/conv/Conv                                                                     
      0,0          199 168          3      66 389,0      65 344,0      56 512       77 312      10 439,0  PushPop   TensorRT:/model.9/m/MaxPool                                                                         
      0,0          197 248          3      65 749,0      58 368,0      57 120       81 760      13 879,0  PushPop   TensorRT:PWN(PWN(/model.21/cv1/act/Sigmoid), PWN(/model.21/cv1/act/Mul))                            
      0,0          195 360          3      65 120,0      58 944,0      58 016       78 400      11 510,0  PushPop   TensorRT:PWN(PWN(/model.18/cv1/act/Sigmoid), PWN(/model.18/cv1/act/Mul))                            
      0,0          195 296          3      65 098,0      51 552,0      47 488       96 256      27 059,0  PushPop   TensorRT:/model.22/dfl/Softmax                                                                      
      0,0          194 784          3      64 928,0      56 896,0      56 064       81 824      14 638,0  PushPop   TensorRT:/model.22/cv2.1/cv2.1.0/conv/Conv || /model.22/cv3.1/cv3.1.0/conv/Conv                     
      0,0          194 080          3      64 693,0      62 080,0      47 520       84 480      18 618,0  PushPop   TensorRT:/model.22/cv2.2/cv2.2.0/conv/Conv || /model.22/cv3.2/cv3.2.0/conv/Conv                     
      0,0          193 216          3      64 405,0      58 912,0      51 424       82 880      16 431,0  PushPop   TensorRT:/model.5/conv/Conv                                                                         
      0,0          192 800          3      64 266,0      62 016,0      51 008       79 776      14 515,0  PushPop   TensorRT:/model.22/cv3.1/cv3.1.1/conv/Conv                                                          
      0,0          192 512          3      64 170,0      53 568,0      52 864       86 080      18 977,0  PushPop   TensorRT:/model.21/Split_output_1 copy                                                              
      0,0          192 224          3      64 074,0      58 976,0      57 536       75 712      10 103,0  PushPop   TensorRT:/model.21/m.0/cv1/conv/Conv                                                                
      0,0          191 712          3      63 904,0      57 056,0      57 056       77 600      11 861,0  PushPop   TensorRT:/model.8/m.0/cv1/conv/Conv                                                                 
      0,0          191 680          3      63 893,0      71 296,0      35 552       84 832      25 460,0  PushPop   TensorRT:/model.22/Mul_2_output_0 copy                                                              
      0,0          191 264          3      63 754,0      58 624,0      49 152       83 488      17 733,0  PushPop   TensorRT:/model.7/conv/Conv                                                                         
      0,0          189 536          3      63 178,0      52 928,0      49 408       87 200      20 877,0  PushPop   TensorRT:/model.13/Resize_output_0 copy                                                             
      0,0          186 816          3      62 272,0      63 648,0      54 208       68 960       7 471,0  PushPop   TensorRT:/model.22/Reshape_2_copy_output                                                            
      0,0          185 600          3      61 866,0      53 760,0      52 320       79 520      15 305,0  PushPop   TensorRT:/model.22/cv2.0/cv2.0.2/Conv                                                               
      0,0          185 344          3      61 781,0      55 072,0      53 568       76 704      12 945,0  PushPop   TensorRT:/model.6/m.0/cv1/conv/Conv                                                                 
      0,0          184 320          3      61 440,0      59 040,0      51 840       73 440      10 998,0  PushPop   TensorRT:/model.22/Reshape_1_copy_output                                                            
      0,0          183 424          3      61 141,0      51 520,0      51 296       80 608      16 859,0  PushPop   TensorRT:/model.12/m.0/cv2/conv/Conv                                                                
      0,0          183 136          3      61 045,0      53 600,0      46 368       83 168      19 497,0  PushPop   TensorRT:/model.9/cv2/conv/Conv                                                                     
      0,0          182 272          3      60 757,0      57 280,0      54 272       70 720       8 758,0  PushPop   TensorRT:/model.15/cv2/conv/Conv                                                                    
      0,0          181 728          3      60 576,0      53 920,0      49 472       78 336      15 540,0  PushPop   TensorRT:/model.22/dfl/Reshape + /model.22/dfl/Transpose                                            
      0,0          180 448          3      60 149,0      51 456,0      50 592       78 400      15 811,0  PushPop   TensorRT:/model.15/cv1/conv/Conv                                                                    
      0,0          180 288          3      60 096,0      53 440,0      47 200       79 648      17 217,0  PushPop   TensorRT:/model.22/cv2.1/cv2.1.2/Conv                                                               
      0,0          180 224          3      60 074,0      50 912,0      48 864       80 448      17 673,0  PushPop   TensorRT:/model.22/cv2.0/cv2.0.1/conv/Conv                                                          
      0,0          178 016          3      59 338,0      58 784,0      54 976       64 256       4 664,0  PushPop   TensorRT:/model.2/m.0/cv2/conv/Conv                                                                 
      0,0          177 888          3      59 296,0      59 648,0      43 008       75 232      16 114,0  PushPop   TensorRT:/model.4/m.0/cv2/conv/Conv                                                                 
      0,0          176 608          3      58 869,0      49 408,0      46 912       80 288      18 591,0  PushPop   TensorRT:/model.22/cv3.2/cv3.2.2/Conv                                                               
      0,0          173 504          3      57 834,0      55 968,0      46 272       71 264      12 600,0  PushPop   TensorRT:/model.6/cv2/conv/Conv                                                                     
      0,0          173 312          3      57 770,0      52 384,0      42 784       78 144      18 285,0  PushPop   TensorRT:/model.18/m.0/cv2/conv/Conv                                                                
      0,0          172 352          3      57 450,0      44 928,0      43 392       84 032      23 032,0  PushPop   TensorRT:/model.22/Reshape_3_copy_output                                                            
      0,0          172 128          3      57 376,0      41 696,0      35 136       95 296      33 003,0  PushPop   TensorRT:/model.9/m_1/MaxPool                                                                       
      0,0          171 520          3      57 173,0      60 128,0      43 648       67 744      12 316,0  PushPop   TensorRT:/model.15/m.0/cv2/conv/Conv                                                                
      0,0          171 488          3      57 162,0      53 216,0      53 216       65 056       6 835,0  PushPop   TensorRT:/model.2/m.0/cv1/conv/Conv                                                                 
      0,0          171 456          3      57 152,0      43 808,0      42 304       85 344      24 426,0  PushPop   TensorRT:/model.22/dfl/conv/Conv                                                                    
