epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,2894.44,0.82382,0.38201,0.95494,0.9573,0.94563,0.96572,0.73319,0.924,0.40168,1.073,0.000160162,0.000160162,0.000160162
78,2931.95,0.83214,0.38394,0.96622,0.93228,0.96348,0.95394,0.71992,0.93917,0.39701,1.07655,0.000148535,0.000148535,0.000148535
79,2969.71,0.81849,0.38051,0.95276,0.92117,0.93719,0.94967,0.72368,0.92021,0.41042,1.06908,0.000137315,0.000137315,0.000137315
80,3007.25,0.82235,0.37915,0.95736,0.94294,0.92025,0.94363,0.71858,0.9504,0.40366,1.0806,0.000126513,0.000126513,0.000126513
81,3045.12,0.81761,0.37628,0.95797,0.93033,0.92471,0.95296,0.72384,0.92776,0.417,1.07468,0.00011614,0.00011614,0.00011614
82,3082.77,0.80855,0.37671,0.95682,0.94639,0.93649,0.95938,0.72451,0.92193,0.39946,1.07269,0.000106206,0.000106206,0.000106206
83,3120.63,0.81174,0.37433,0.9556,0.94849,0.92226,0.95465,0.72473,0.9258,0.43111,1.07057,9.67211e-05,9.67211e-05,9.67211e-05
84,3157.78,0.8101,0.37462,0.94938,0.95715,0.92798,0.95844,0.72639,0.92982,0.41458,1.07091,8.76942e-05,8.76942e-05,8.76942e-05
85,3195.37,0.80972,0.37477,0.95622,0.94738,0.92963,0.9566,0.72676,0.92395,0.4013,1.07363,7.91345e-05,7.91345e-05,7.91345e-05
86,3233.24,0.80335,0.37065,0.94949,0.94234,0.92863,0.95194,0.72306,0.92604,0.40783,1.07382,7.10504e-05,7.10504e-05,7.10504e-05
87,3270.83,0.80877,0.37221,0.95225,0.93291,0.94394,0.95066,0.72388,0.9158,0.40213,1.06694,6.34499e-05,6.34499e-05,6.34499e-05
88,3308.53,0.80391,0.36919,0.947,0.93199,0.94874,0.95869,0.72974,0.91879,0.39283,1.06794,5.63404e-05,5.63404e-05,5.63404e-05
89,3346.07,0.80811,0.37195,0.95234,0.92795,0.94948,0.95943,0.72932,0.91526,0.39917,1.0715,4.97291e-05,4.97291e-05,4.97291e-05
90,3383.76,0.79497,0.36571,0.94994,0.92689,0.9513,0.96352,0.73404,0.91788,0.38614,1.07228,4.36223e-05,4.36223e-05,4.36223e-05
91,3421.33,0.77115,0.3389,0.96165,0.95945,0.94003,0.96631,0.72912,0.91986,0.40578,1.07806,3.80262e-05,3.80262e-05,3.80262e-05
92,3457.86,0.76814,0.33852,0.96487,0.97043,0.92313,0.96832,0.73042,0.91702,0.41137,1.07671,3.29463e-05,3.29463e-05,3.29463e-05
93,3494.84,0.76299,0.33579,0.9626,0.9541,0.92154,0.96603,0.72742,0.92303,0.41366,1.07723,2.83875e-05,2.83875e-05,2.83875e-05
94,3532.12,0.76043,0.33316,0.9594,0.9719,0.91933,0.96614,0.73031,0.91647,0.40727,1.07462,2.43545e-05,2.43545e-05,2.43545e-05
95,3569.1,0.75802,0.33323,0.96005,0.95273,0.92668,0.96587,0.72878,0.91691,0.40889,1.07566,2.0851e-05,2.0851e-05,2.0851e-05
96,3605.74,0.75394,0.33222,0.95622,0.95492,0.92822,0.96781,0.73306,0.91589,0.39955,1.07593,1.78807e-05,1.78807e-05,1.78807e-05
97,3642.99,0.76281,0.33414,0.95952,0.95294,0.92974,0.96534,0.7326,0.91771,0.40304,1.07528,1.54465e-05,1.54465e-05,1.54465e-05
98,3680.16,0.75729,0.33363,0.95702,0.9575,0.92574,0.96279,0.72919,0.91553,0.40516,1.07397,1.35507e-05,1.35507e-05,1.35507e-05
99,3717.46,0.75843,0.33283,0.95758,0.93326,0.94657,0.96377,0.72978,0.91688,0.40374,1.07535,1.21952e-05,1.21952e-05,1.21952e-05
100,3754.66,0.7606,0.33379,0.96076,0.93152,0.94498,0.96325,0.73135,0.91825,0.40708,1.07637,1.13814e-05,1.13814e-05,1.13814e-05
