raw_target,target_norm,status,error,block_targets,c2f_hidden_targets,c2f_bn_cv1_targets,c2f_bn_cv2_targets,sppf_hidden_targets,changed_paths,base_params,pruned_params_preft,postft_params,base_mb,saved_mb_preft,saved_mb_postft,base_map50_95,preft_map50_95,postft_map50_95,base_map50,preft_map50,postft_map50,base_lat_ms,preft_lat_ms,postft_lat_ms,base_fps,preft_fps,postft_fps,train_box_loss_last,train_cls_loss_last,train_dfl_loss_last,run_dir
model.12.cv2.conv,model.12.cv2,ok_preft_only,,12,,,,,model.12,3157200,3152182,3152182,12.04376220703125,0.01914215087890625,0.01914215087890625,0.3714722735825037,0.36632102135013683,0.36632102135013683,0.5211115330751224,0.5149167745010079,0.5149167745010079,1.642599312029779,1.5328204812947661,1.5328204812947661,608.7911961708351,652.3921178005821,652.3921178005821,,,,
model.12.m.0.cv1.conv,model.12.m.0.cv1,ok_preft_only,,,,12.0,,,model.12.m.0.cv1,3157200,3150276,3150276,12.04376220703125,0.0264129638671875,0.0264129638671875,0.3714722735825037,0.3692681131319041,0.3692681131319041,0.5211115330751224,0.5177384265838331,0.5177384265838331,1.642599312029779,1.5375979848206043,1.5375979848206043,608.7911961708351,650.3650563230107,650.3650563230107,,,,
model.12.m.0.cv2.conv,model.12.m.0.cv2,ok_preft_only,,,,,12.0,,model.12.m.0.cv2,3157200,3152964,3152964,12.04376220703125,0.0161590576171875,0.0161590576171875,0.3714722735825037,0.36966589517518955,0.36966589517518955,0.5211115330751224,0.5181357716046981,0.5181357716046981,1.642599312029779,1.5402213494293393,1.5402213494293393,608.7911961708351,649.2573293900293,649.2573293900293,,,,
model.15.cv1.conv,model.15.cv1,ok_preft_only,,,15,,,,model.15.cv1,3157200,3152154,3152154,12.04376220703125,0.01924896240234375,0.01924896240234375,0.3714722735825037,0.3434324988737153,0.3434324988737153,0.5211115330751224,0.48797974834367397,0.48797974834367397,1.642599312029779,1.546968935895711,1.546968935895711,608.7911961708351,646.4253914840182,646.4253914840182,,,,
model.15.cv2.conv,model.15.cv2,ok_preft_only,,15,,,,,model.15,3157200,3145380,3145380,12.04376220703125,0.0450897216796875,0.0450897216796875,0.3714722735825037,0.3643747125522337,0.3643747125522337,0.5211115330751224,0.5121301062528845,0.5121301062528845,1.642599312029779,1.5588673675898461,1.5588673675898461,608.7911961708351,641.4913935533162,641.4913935533162,,,,
model.15.m.0.cv1.conv,model.15.m.0.cv1,ok_preft_only,,,,15.0,,,model.15.m.0.cv1,3157200,3155466,3155466,12.04376220703125,0.00661468505859375,0.00661468505859375,0.3714722735825037,0.3689963887995282,0.3689963887995282,0.5211115330751224,0.5187427369371402,0.5187427369371402,1.642599312029779,1.542843200918287,1.542843200918287,608.7911961708351,648.1540051541261,648.1540051541261,,,,
model.15.m.0.cv2.conv,model.15.m.0.cv2,ok_preft_only,,,,,15.0,,model.15.m.0.cv2,3157200,3156138,3156138,12.04376220703125,0.00405120849609375,0.00405120849609375,0.3714722735825037,0.3684040461051111,0.3684040461051111,0.5211115330751224,0.5185215227498101,0.5185215227498101,1.642599312029779,1.5831298217177392,1.5831298217177392,608.7911961708351,631.6601369526174,631.6601369526174,,,,
model.16.conv,model.16,ok_preft_only,,16,,,,,model.16,3157200,3152964,3152964,12.04376220703125,0.0161590576171875,0.0161590576171875,0.3714722735825037,0.3699512810894619,0.3699512810894619,0.5211115330751224,0.5196117046759712,0.5196117046759712,1.642599312029779,1.5510029619093983,1.5510029619093983,608.7911961708351,644.7440943432672,644.7440943432672,,,,
model.18.cv1.conv,model.18.cv1,ok_preft_only,,,18,,,,model.18.cv1,3157200,3139368,3139368,12.04376220703125,0.068023681640625,0.068023681640625,0.3714722735825037,0.3534180072413684,0.3534180072413684,0.5211115330751224,0.5034255904849172,0.5034255904849172,1.642599312029779,1.5774268608540296,1.5774268608540296,608.7911961708351,633.9438136983373,633.9438136983373,,,,
model.18.cv2.conv,model.18.cv2,ok_preft_only,,18,,,,,model.18,3157200,3122854,3122854,12.04376220703125,0.13101959228515625,0.13101959228515625,0.3714722735825037,0.3679286617016324,0.3679286617016324,0.5211115330751224,0.5184163270437642,0.5184163270437642,1.642599312029779,1.5386924829799682,1.5386924829799682,608.7911961708351,649.9024405859911,649.9024405859911,,,,
model.18.m.0.cv1.conv,model.18.m.0.cv1,ok_preft_only,,,,18.0,,,model.18.m.0.cv1,3157200,3150276,3150276,12.04376220703125,0.0264129638671875,0.0264129638671875,0.3714722735825037,0.3487465612415624,0.3487465612415624,0.5211115330751224,0.5009541966183813,0.5009541966183813,1.642599312029779,1.590483952173963,1.590483952173963,608.7911961708351,628.73944665279,628.73944665279,,,,
model.18.m.0.cv2.conv,model.18.m.0.cv2,ok_preft_only,,,,,18.0,,model.18.m.0.cv2,3157200,3152964,3152964,12.04376220703125,0.0161590576171875,0.0161590576171875,0.3714722735825037,0.36840793093800656,0.36840793093800656,0.5211115330751224,0.5187663286955556,0.5187663286955556,1.642599312029779,1.5519092528149487,1.5519092528149487,608.7911961708351,644.3675738037764,644.3675738037764,,,,
model.19.conv,model.19,ok_preft_only,,19,,,,,model.19,3157200,3138870,3138870,12.04376220703125,0.06992340087890625,0.06992340087890625,0.3714722735825037,0.3688145949958566,0.3688145949958566,0.5211115330751224,0.518246627290939,0.518246627290939,1.642599312029779,1.5738367285579444,1.5738367285579444,608.7911961708351,635.3899244150107,635.3899244150107,,,,
model.21.cv1.conv,model.21.cv1,ok_preft_only,,,21,,,,model.21.cv1,3157200,3080266,3080266,12.04376220703125,0.29347991943359375,0.29347991943359375,0.3714722735825037,0.35176913554011763,0.35176913554011763,0.5211115330751224,0.5054554018442563,0.5054554018442563,1.642599312029779,1.5596365946810693,1.5596365946810693,608.7911961708351,641.1750041069602,641.1750041069602,,,,
model.21.cv2.conv,model.21.cv2,ok_preft_only,,21,,,,,model.21,3157200,3113468,3113468,12.04376220703125,0.1668243408203125,0.1668243408203125,0.3714722735825037,0.3694299596348148,0.3694299596348148,0.5211115330751224,0.5196599854776439,0.5196599854776439,1.642599312029779,1.5575197315774858,1.5575197315774858,608.7911961708351,642.046440713262,642.046440713262,,,,
model.21.m.0.cv1.conv,model.21.m.0.cv1,ok_preft_only,,,,21.0,,,model.21.m.0.cv1,3157200,3127222,3127222,12.04376220703125,0.11435699462890625,0.11435699462890625,0.3714722735825037,0.3684129512883601,0.3684129512883601,0.5211115330751224,0.5203846672947513,0.5203846672947513,1.642599312029779,1.5381463569123297,1.5381463569123297,608.7911961708351,650.133191491216,650.133191491216,,,,
model.21.m.0.cv2.conv,model.21.m.0.cv2,ok_preft_only,,,,,21.0,,model.21.m.0.cv2,3157200,3138870,3138870,12.04376220703125,0.06992340087890625,0.06992340087890625,0.3714722735825037,0.3692486735510495,0.3692486735510495,0.5211115330751224,0.5194041137310108,0.5194041137310108,1.642599312029779,1.514199703000486,1.514199703000486,608.7911961708351,660.4148699926665,660.4148699926665,,,,
