name,type,params_total_b,params_weight_b,params_bias_b,in_act_b,out_act_b,flops,out_shapes
model.22.cv2.2.0.conv,Conv2d,589824,589824,0,409600,102400,117964800,"(1, 64, 20, 20) float32"
model.22.cv2.2.0.bn,BatchNorm2d,512,256,256,102400,102400,0,"(1, 64, 20, 20) float32"
model.0.act,SiLU,0,0,0,102400,102400,0,"(1, 64, 20, 20) float32"
model.22.cv2.2.1.conv,Conv2d,147456,147456,0,102400,102400,29491200,"(1, 64, 20, 20) float32"
model.22.cv2.2.1.bn,BatchNorm2d,512,256,256,102400,102400,0,"(1, 64, 20, 20) float32"
model.0.act,SiLU,0,0,0,102400,102400,0,"(1, 64, 20, 20) float32"
model.22.cv2.2.2,Conv2d,16640,16384,256,102400,102400,3276800,"(1, 64, 20, 20) float32"
model.22.cv3.0.0.conv,Conv2d,184320,184320,0,1638400,2048000,589824000,"(1, 80, 80, 80) float32"
model.22.cv3.0.0.bn,BatchNorm2d,640,320,320,2048000,2048000,0,"(1, 80, 80, 80) float32"
model.0.act,SiLU,0,0,0,2048000,2048000,0,"(1, 80, 80, 80) float32"
model.22.cv3.0.1.conv,Conv2d,230400,230400,0,2048000,2048000,737280000,"(1, 80, 80, 80) float32"
model.22.cv3.0.1.bn,BatchNorm2d,640,320,320,2048000,2048000,0,"(1, 80, 80, 80) float32"
model.0.act,SiLU,0,0,0,2048000,2048000,0,"(1, 80, 80, 80) float32"
model.22.cv3.0.2,Conv2d,25920,25600,320,2048000,2048000,81920000,"(1, 80, 80, 80) float32"
model.22.cv3.1.0.conv,Conv2d,368640,368640,0,819200,512000,294912000,"(1, 80, 40, 40) float32"
model.22.cv3.1.0.bn,BatchNorm2d,640,320,320,512000,512000,0,"(1, 80, 40, 40) float32"
model.0.act,SiLU,0,0,0,512000,512000,0,"(1, 80, 40, 40) float32"
model.22.cv3.1.1.conv,Conv2d,230400,230400,0,512000,512000,184320000,"(1, 80, 40, 40) float32"
model.22.cv3.1.1.bn,BatchNorm2d,640,320,320,512000,512000,0,"(1, 80, 40, 40) float32"
model.0.act,SiLU,0,0,0,512000,512000,0,"(1, 80, 40, 40) float32"
model.22.cv3.1.2,Conv2d,25920,25600,320,512000,512000,20480000,"(1, 80, 40, 40) float32"
model.22.cv3.2.0.conv,Conv2d,737280,737280,0,409600,128000,147456000,"(1, 80, 20, 20) float32"
model.22.cv3.2.0.bn,BatchNorm2d,640,320,320,128000,128000,0,"(1, 80, 20, 20) float32"
model.0.act,SiLU,0,0,0,128000,128000,0,"(1, 80, 20, 20) float32"
model.22.cv3.2.1.conv,Conv2d,230400,230400,0,128000,128000,46080000,"(1, 80, 20, 20) float32"
model.22.cv3.2.1.bn,BatchNorm2d,640,320,320,128000,128000,0,"(1, 80, 20, 20) float32"
model.0.act,SiLU,0,0,0,128000,128000,0,"(1, 80, 20, 20) float32"
model.22.cv3.2.2,Conv2d,25920,25600,320,128000,128000,5120000,"(1, 80, 20, 20) float32"
model.22.dfl.conv,Conv2d,64,64,0,2150400,134400,1075200,"(1, 1, 4, 8400) float32"
